Ciqual AGB,Groupe d'aliment,Sous-groupe d'aliment,Nom Français,LCI Name,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux
11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",1.8741523,7.5845182,2.9324705e-07,30.251469,0.025011395,4.738923e-07,2.0872614e-07,6.6224004e-09,0.045589121,0.0016105261,0.026783097,0.13709941,70.183757,106.3095,3.380742,700.15958,5.1441726e-05
25525,aides culinaires et ingrédients divers,aides culinaires,"Pizza, sauce garniture pour",Topping sauce for pizza,0.14831513,0.94041412,2.7037351e-08,0.55803543,0.0039282265,7.8641247e-08,4.2382898e-08,8.8152489e-10,0.0080492583,0.00019319891,0.0041615569,0.030262508,11.0274424,67.673943,2.4681026,24.405351,5.9136916e-06
11214,aides culinaires et ingrédients divers,aides culinaires,"Préparation culinaire à base de soja, type ""crème de soja""","Soy ""cream"" preparation",0.14770106,1.1740724,3.3827981e-08,0.54509268,0.0040248509,6.4206493e-08,2.6582378e-08,2.1418911e-09,0.0063238473,0.00035744848,0.0072329691,0.024434065,30.835753,116.49228,0.42246753,22.429809,3.9627729e-06
11084,aides culinaires et ingrédients divers,algues,"Agar (algue), cru","Seaweed, agar, raw",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
20995,aides culinaires et ingrédients divers,algues,"Ao-nori (Enteromorpha sp.), séchée ou déshydratée","Sea lettuce (Enteromorpha sp.), dried or dehydrated",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
20998,aides culinaires et ingrédients divers,algues,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté","North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
20988,aides culinaires et ingrédients divers,algues,"Dulse (Palmaria palmata), séchée ou déshydratée","Dulse (Palmaria palmata), dried or dehydrated",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
20994,aides culinaires et ingrédients divers,algues,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté","Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
20993,aides culinaires et ingrédients divers,algues,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée","Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
20992,aides culinaires et ingrédients divers,algues,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée","Sea thong (Himanthalia elongata), dried or dehydrated",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
20991,aides culinaires et ingrédients divers,algues,"Kombu breton (Laminaria digitata), séchée ou déshydratée","Tangle (Laminaria digitata), dried or dehydrated",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
20990,aides culinaires et ingrédients divers,algues,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée","Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
20986,aides culinaires et ingrédients divers,algues,"Kombu royal (Saccharina latissima), séchée ou déshydratée","Sea belt (Saccharina latissima), dried or dehydrated",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
20985,aides culinaires et ingrédients divers,algues,"Laitue de mer (Ulva sp.), séchée ou déshydratée","Sea lettuce (ulva sp.), dried or dehydrated)",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
20996,aides culinaires et ingrédients divers,algues,"Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté","Carragheen mosses (Chondrus crispus), dried or dehydrated",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
20987,aides culinaires et ingrédients divers,algues,"Nori (Porphyra sp.), séchée ou déshydratée","Laver (Porphyra sp.), dried or dehydrated",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
11086,aides culinaires et ingrédients divers,algues,"Spiruline (Spirulina sp.), séchée ou déshydratée","Spirulina, (spirulina sp.), dried",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
20984,aides culinaires et ingrédients divers,algues,"Wakamé (Undaria pinnatifida), séchée ou déshydratée","Wakame (Undaria pinnatifida), dried or dehydrated",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
20999,aides culinaires et ingrédients divers,algues,"Wakamé atlantique (Alaria esculenta), séchée ou déshydratée","Atlantic wakame (Alaria esculenta), dried or dehydrated",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
11013,aides culinaires et ingrédients divers,condiments,Moutarde,Mustard,0.22521885,1.5925354,8.1390239e-08,0.62731403,0.0073021652,1.9045969e-07,3.8181092e-08,7.4943725e-10,0.024185257,0.00023025763,0.010358774,0.09531228,13.7268687,105.25538,0.43570946,29.953055,5.5416071e-06
11021,aides culinaires et ingrédients divers,condiments,Moutarde à l'ancienne,"Mustard, with grains",0.22521885,1.5925354,8.1390239e-08,0.62731403,0.0073021652,1.9045969e-07,3.8181092e-08,7.4943725e-10,0.024185257,0.00023025763,0.010358774,0.09531228,13.7268687,105.25538,0.43570946,29.953055,5.5416071e-06
13147,aides culinaires et ingrédients divers,condiments,"Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)","Olive, green, stuffed (anchovy, sweet peppers, etc…)",0.1373533,1.1687902,8.9206035e-08,0.30774058,0.0058447001,8.197332e-08,2.4424302e-08,5.0644991e-10,0.0080418693,0.00012928694,0.0027891639,0.023930896,15.6385399,48.925314,2.0058735,20.560628,5.0616363e-06
11043,aides culinaires et ingrédients divers,condiments,Tapenade,"Tapenade (a puree of capers, pitted black olives, anchovy and herbs, with olive oil and lemon juice",0.31698907,1.6169704,1.0922573e-07,0.78292954,0.010054655,1.7739526e-07,8.8851677e-08,1.3272342e-09,0.02111207,0.00032374422,0.0092843619,0.077085586,37.4410855,215.25811,7.6154438,37.476892,1.031143e-05
11018,aides culinaires et ingrédients divers,condiments,Vinaigre,Vinegar,0.12795808,0.95990975,5.0770313e-08,0.32326568,0.0039237226,5.7121688e-08,1.0422889e-07,1.855003e-09,0.0052465118,0.00017630577,0.0055176776,0.017178763,16.0862956,94.234646,0.1488213,17.190144,7.0366583e-06
11091,aides culinaires et ingrédients divers,condiments,Vinaigre balsamique,"Vinegar, balsamic",0.12795808,0.95990975,5.0770313e-08,0.32326568,0.0039237226,5.7121688e-08,1.0422889e-07,1.855003e-09,0.0052465118,0.00017630577,0.0055176776,0.017178763,16.0862956,94.234646,0.1488213,17.190144,7.0366583e-06
11090,aides culinaires et ingrédients divers,condiments,Vinaigre de cidre,"Vinegar, cider",0.083276662,0.84106152,5.369539e-08,0.20901058,0.0030878271,4.6006724e-08,1.2347313e-08,5.3994475e-10,0.0037488017,9.3731654e-05,0.0013408053,0.010773256,17.5808014,20.639216,0.68965719,13.571326,3.1731597e-06
42000,aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,"Substitut de repas hypocalorique, crème dessert","Meal replacement low calorie, Custard cream dessert-type",0.23986443,2.6559975,4.6434064e-08,0.749967,0.0059178854,1.3170374e-07,2.4350298e-08,9.2644491e-10,0.015612277,0.00026803739,0.0051519177,0.060015579,21.3742491,55.682544,0.80459826,42.811452,8.0863424e-06
42004,aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,"Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé","Meal replacement low calorie, in powder, reconstituted with skimmed milk",0.23986443,2.6559975,4.6434064e-08,0.749967,0.0059178854,1.3170374e-07,2.4350298e-08,9.2644491e-10,0.015612277,0.00026803739,0.0051519177,0.060015579,21.3742491,55.682544,0.80459826,42.811452,8.0863424e-06
42005,aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,"Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé, type milk-shake","Meal replacement low calorie, in powder, reconstituted with skimmed milk, milkshake type",0.23986443,2.6559975,4.6434064e-08,0.749967,0.0059178854,1.3170374e-07,2.4350298e-08,9.2644491e-10,0.015612277,0.00026803739,0.0051519177,0.060015579,21.3742491,55.682544,0.80459826,42.811452,8.0863424e-06
42003,aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,"Substitut de repas hypocalorique, prêt à boire","Meal replacement low calorie, ready-to-drink",0.23986443,2.6559975,4.6434064e-08,0.749967,0.0059178854,1.3170374e-07,2.4350298e-08,9.2644491e-10,0.015612277,0.00026803739,0.0051519177,0.060015579,21.3742491,55.682544,0.80459826,42.811452,8.0863424e-06
11025,aides culinaires et ingrédients divers,épices,"Cannelle, poudre","Cinnamon, powder",1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11075,aides culinaires et ingrédients divers,épices,"Cardamome, poudre","Cardamom, powder",1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11064,aides culinaires et ingrédients divers,épices,"Carvi, graine","Caraway, seed",1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11052,aides culinaires et ingrédients divers,épices,Clou de girofle,Cloves,1.0607275,9.3933191,2.3921305e-07,0.87724176,0.034648795,9.7022505e-07,9.6874767e-08,2.7368027e-09,0.075028732,0.0014110438,0.067321449,0.4095696,55.14227,687.76056,4.3711262,78.733125,5.8659826e-05
11026,aides culinaires et ingrédients divers,épices,"Coriandre, graine","Coriander, seed",0.19953102,2.1330567,1.7236337e-07,0.31002658,0.008740796,1.0930441e-07,2.3459187e-08,7.1304198e-10,0.010389736,0.00024997511,0.0054601596,0.026601697,37.815765,19.235007,1.4652215,32.871482,6.6133579e-06
11042,aides culinaires et ingrédients divers,épices,"Cumin, graine","Cumin, seed",1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
