Identifiant de l'élément,Nom base français,Nom base anglais,Nom attribut français,Nom attribut anglais,Nom frontière français,Nom frontière anglais,Code de la catégorie,Tags français,Tags anglais,Unité français,Unité anglais,Source,Date de création,Date de modification,Période de validité,Incertitude,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Commentaire anglais,Total poste non décomposé
40963,"""""""Barre céréalière """"""""équilibre"""""""" aux fruits""""""",Cereal bar with fruit,enrichie en vitamines et minéraux,fortified with vitamins and minerals,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Barre céréalière """"""""équilibre"""""""" aux fruits""""""","Agribalyse,céréales de petit-déjeuner et biscuits,Cereal bar with fruit",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.9,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,2.46
40964,"""""""Barre céréalière """"""""équilibre"""""""" chocolatée""""""",Cereal bar with chocolate,enrichie en vitamines et minéraux,fortified with vitamins and minerals,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Barre céréalière """"""""équilibre"""""""" chocolatée""""""","Agribalyse,céréales de petit-déjeuner et biscuits,Cereal bar with chocolate",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.8,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,6.09
39789,"""""""Bière """"""""coeur de marché"""""""" (4-5° alcool)""""""",Beer,,regular (4-5° alcohol),,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons alcoolisées","boisson alcoolisées,""""""Agribalyse,Bière """"""""coeur de marché"""""""" (4-5° alcool)""""""","Agribalyse,Beer,boisson alcoolisées",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.8,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,1.12
39790,"""""""Bière """"""""de spécialités"""""""" ou d'abbaye""""""",Beer,régionales ou d'une brasserie (degré d'alcool variable),""""""" """"""""specialty""""""""""""""",,from abbey or regional (varying alcohol content),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons alcoolisées","boisson alcoolisées,""""""Agribalyse,Bière """"""""de spécialités"""""""" ou d'abbaye""""""","Agribalyse,Beer,boisson alcoolisées",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.1,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,1.12
39791,"""""""Bière """"""""spéciale"""""""" (5-6° alcool)""""""",Beer,,special (5-6° alcohol),,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons alcoolisées","boisson alcoolisées,""""""Agribalyse,Bière """"""""spéciale"""""""" (5-6° alcool)""""""","Agribalyse,Beer,boisson alcoolisées",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.1,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,1.12
41040,"""""""Brioche fourrée crème pâtissière (type """"""""chinois"""""""")""""""",Brioche,préemballée,filled with custard (Chinese brioche type),,prepacked,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries","pains et viennoiseries,""""""Agribalyse,Brioche fourrée crème pâtissière (type """"""""chinois"""""""")""""""","Agribalyse,Brioche,pains et viennoiseries",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.1,4.0,,,,,,Livraison : Ambiant (court) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (court) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,2.71
41052,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" au chocolat (non enrichies en vitamines et minérau",Breakfast cereals,,diet,,"with chocolate, not fortified","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" au chocolat (non enrichies en vitamines et minéraux)""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.7,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,3.4
41053,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" au chocolat""""""",Breakfast cereals,enrichies en vitamines et minéraux,diet,,"with chocolate, fortified with vitamins and chemical elements","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" au chocolat""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.7,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,3.4
41054,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits (non enrichies en vitamines et minéraux",Breakfast cereals,,diet,,"with fruits, not fortified","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits (non enrichies en vitamines et minéraux)""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,4.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.56
41055,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits secs (à coque)""""""",Breakfast cereals,enrichis en vitamines et minéraux,diet,,"with dried fruits, fortified with vitamins and chemical elements","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits secs (à coque)""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,4.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.56
41056,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits""""""",Breakfast cereals,enrichies en vitamines et minéraux,diet,,"with fruits, fortified with vitamins and chemical elements","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,4.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.56
41057,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" nature (non enrichies en vitamines et minéraux)""""""",Breakfast cereals,,diet,,"plain, not fortified","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" nature (non enrichies en vitamines et minéraux)""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,4.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.56
41058,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" nature ou au miel""""""",Breakfast cereals,enrichies en vitamines et minéraux,diet,,"plain or with honey, fortified with vitamins and chemical elements","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" nature ou au miel""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,4.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.56
41167,"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum chocolat""""""",Biscuit (cookie),,snack w chocolate filling,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Goûter sec fourré (""""""""sandwiché"""""""") parfum chocolat""""""","Agribalyse,Biscuit (cookie),céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.4,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,5.92
