"UUID du flux";"Nom du flux";Commentaire;Type;"Catégorie 1";"Catégorie 2";"Catégorie 3";"Quantité de référence";Unité
"Flow UUID";"Flow name";Comment;Type;"Category 1";"Category 2";"Category 3";"Reference quantity";Unit
4f90157a-7194-4bc6-804a-722c89f57c31;"Ethine (acetylene)";;"Product flow";;;;1;kg
d00f5d8a-624c-335c-fa8a-4b0febfb73a9;;;"Product flow";;;;1;kg
67cefb3f-42d9-9ba0-30e2-dfb72074bd7c;;;"Product flow";;;;1;kg
22545ffa-07f2-48a9-a72c-b41cd32d5574;"Softwood lumber mass";;"Product flow";"Valuable substances";Materials;"Materials from renewable raw materials";1;kg
55cb872d-b232-109c-e44c-36e1a4bf0bbe;;;"Product flow";;;;1;m
f244b1b0-1c2c-238b-6205-f31c43be61cd;;;"Product flow";;;;1;kg
75ad6b04-578a-d149-37d3-df8173aefb05;;;"Product flow";;;;1;kg
6fe02cb2-ff1f-22c1-95bf-c538b9510926;;;"Product flow";;;;1;kg
6125c8f1-dec6-2419-2014-e1a0cbcc7376;;;"Product flow";;;;1;kg
6b4be57c-def5-47f0-5d1f-fab11ac28610;;;"Product flow";;;;1;kg
015a939d-7145-18b4-e0e1-f7ebe2a8bd8e;;;"Product flow";;;;1;kg
2f8dc5d6-e0aa-067d-4ad5-0cf6596dae4e;;;"Product flow";;;;1;kg
64f5d521-93d6-583d-0f76-4270398131ef;;;"Product flow";;;;1;kg
809b2faf-760f-8e71-178f-14d8c33fad6d;;;"Product flow";;;;1;MJ
bd06298f-a2a4-2b17-295c-41a82f1d0932;;;"Product flow";;;;1;kg
16b26a31-ec9a-2227-9908-a0967f0db2b5;;;"Product flow";;;;1;m2
eae210b9-e15d-2e94-2afe-a50d0f2b2dfb;;;"Product flow";;;;1;kg
358931e3-55a5-ec80-7ea0-c7d307354195;;;"Product flow";;;;1;MJ
f9d1c7ba-5c13-5d52-0bb9-292609c069e8;;;"Product flow";;;;1;MJ
d328ad3e-cbb5-7ca8-864d-c95278e85b8d;;;"Product flow";;;;1;MJ
e1c7ecbd-1a87-11aa-0995-0c06595683ff;;;"Product flow";;;;1;MJ
a8f9a43d-585b-cfbb-4d48-dca175062ddc;;;"Product flow";;;;1;MJ
55f95543-2e8c-c82b-5015-4c14b7cf8b53;;;"Product flow";;;;1;MJ
29ad45db-54ea-a8f3-6fc5-b4654d4511e7;;;"Product flow";;;;1;MJ
ab3f2f44-5c40-12df-1276-bdacaca86d2a;;;"Product flow";;;;1;MJ
23a350fd-bd22-aa80-bfb2-deb663aa70c0;;;"Product flow";;;;1;MJ
9a2a261b-77bb-e5a6-2e93-c5430903d8e1;;;"Product flow";;;;1;MJ
8d3ebfc1-3e7a-c40e-877a-ceaf0df9d1f6;;;"Product flow";;;;1;MJ
710c559d-2c4a-d2e3-2841-8ef6c06d5744;;;"Product flow";;;;1;MJ
dc0eb5be-bfca-0efe-ce65-2db2bf4aa632;;;"Product flow";;;;1;MJ
b5e023b4-fb64-6638-3661-7043e5244963;;;"Product flow";;;;1;MJ
aa83d98c-31d2-e18d-6488-030342c24c83;;;"Product flow";;;;1;MJ
ea8fc6f3-12e1-2717-895d-38824e927e82;;;"Product flow";;;;1;MJ
43df7413-22ee-be42-5bb8-364b909cb7c1;;;"Product flow";;;;1;MJ
1f01fc1e-0d63-1d25-6f9d-f559ffcbce40;;;"Product flow";;;;1;MJ
3e495da5-5d30-5203-4165-2c74fe44614c;;;"Product flow";;;;1;kg
31503fa0-eb9a-df9a-81cb-6bd949cf0702;;;"Product flow";;;;1;t*km
573de197-6677-8e56-15d3-75bb2bc39113;;;"Product flow";;;;1;m2
02aef432-33ac-64e6-cd3d-74021863f076;;;"Product flow";;;;1;m2
3ef7afd5-c178-626d-e077-63155114f978;;;"Product flow";;;;1;m2
d96be009-9d6e-25dd-8a14-63d12c8e2f51;;;"Product flow";;;;1;m2
7ad02190-25ab-7334-a6a4-8e77518d4e07;;;"Product flow";;;;1;m2
4979ca9e-783c-801d-896c-996ff842cb7c;;;"Product flow";;;;1;m2
6b6e0d1a-f358-c3f7-e506-317ca9d5979d;;;"Product flow";;;;1;m2
0c669d08-3c47-537d-9c9e-4a14d6316ae3;;;"Product flow";;;;1;m2
ee30d9fe-2509-4d91-5956-c6a7a99d3c3f;;;"Product flow";;;;1;m2
74001522-c033-38a5-e158-2fd2cfce5b99;;;"Product flow";;;;1;m2
10fa6465-f187-4fd0-e285-9053dcd4e601;;;"Product flow";;;;1;m2
d9f0e7f6-ab7e-25d7-e43f-76504a112ad0;;;"Product flow";;;;1;m2
2d718de2-da52-09b9-7b31-1f30e494402a;;;"Product flow";;;;1;kg
c9f28ff1-8384-0d90-5e19-936bebf2fa6a;;;"Product flow";;;;1;kg
