Type Ligne,Identifiant de l'élément,Structure,Type de l'élément,Statut de l'élément,Nom base français,Nom base anglais,Nom base espagnol,Nom attribut français,Nom attribut anglais,Nom attribut espagnol,Nom frontière français,Nom frontière anglais,Code de la catégorie,Tags français,Tags anglais,Tags espagnol,Unité français,Unité anglais,Contributeur,Autres Contributeurs,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Sous-localisation géographique anglais,Sous-localisation géographique espagnol,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Commentaire anglais,Type poste,Nom poste français,Nom poste anglais,Nom poste espagnol,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Valeur gaz supplémentaire 3,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
Elément,42289,élément non décomposé,Facteur d'émission,Valide générique,Agneau,Lamb,,biologique,organic,,"système numéro 1, à la ferme/FR U","system number 1, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse","Agribalyse,Lamb",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,12.6,,,,,,,,,,,,,,
Elément,42290,élément non décomposé,Facteur d'émission,Valide générique,Agneau,Lamb,,biologique,organic,,"système numéro 2, à la ferme/FR U","system number 2, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse","Agribalyse,Lamb",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,9.16,,,,,,,,,,,,,,
Elément,42291,élément non décomposé,Facteur d'émission,Valide générique,Agneau,Lamb,,biologique,organic,,"système numéro 3, à la ferme/FR U","system number 3, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse","Agribalyse,Lamb",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,15.1,,,,,,,,,,,,,,
Elément,28605,élément non décomposé,Facteur d'émission,Archivé,Agneau,Lamb,,"biologique, Aquitaine","organic, Aquitaine",,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse,Ovin,Agriculture","Agribalyse,Lamb,Agricultural,Ovine",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,12.6,,,,,,,,,,,,,,
Elément,28606,élément non décomposé,Facteur d'émission,Archivé,Agneau,Lamb,,"biologique, Ile-de-France","organic, Ile-de-France",,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse,Ovin,Agriculture","Agribalyse,Lamb,Agricultural,Ovine",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,25.4,,,,,,,,,,,,,,
Elément,28604,élément non décomposé,Facteur d'émission,Archivé,Agneau,Lamb,,"biologique, système n ° 3",biological system # 3,,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse,Ovin,Agriculture","Agribalyse,Lamb,Agricultural,Ovine",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,15.0,,,,,,,,,,,,,,
Elément,42031,élément non décomposé,Facteur d'émission,Valide générique,Agneau,Lamb,,conventionnel,conventional,,"système Roquefort, à la ferme/FR U","Roquefort system, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse","Agribalyse,Lamb",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,4.34,,,,,,,,,,,,,,
Elément,28365,élément non décomposé,Facteur d'émission,Archivé,Agneau,Lamb,,"conventionnel, moyenne nationale, aliments pour animaux","conventional, national average, animal feed",,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse,Ovin,Agriculture","Agribalyse,Lamb,Agricultural,Ovine",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,5.29,,,,,,,,,,,,,,
Elément,28364,élément non décomposé,Facteur d'émission,Archivé,Agneau,Lamb,,"conventionnel, panifiable, 15% d'humidité","conventional, bread-making, 15% humidity",,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse,Ovin,Agriculture","Agribalyse,Lamb,Agricultural,Ovine",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,19.6,,,,,,,,,,,,,,
Elément,42030,élément non décomposé,Facteur d'émission,Valide générique,Agneau système de production conventionnel,Lamb,,intérieur,conventional,,à la ferme/FR U,"indoor production system, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agribalyse,Agneau système de production conventionnel","Agribalyse,Lamb",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,16.3,,,,,,,,,,,,,,
