Type Ligne,Identifiant de l'élément,Structure,Type de l'élément,Statut de l'élément,Nom base français,Nom base anglais,Nom attribut français,Nom attribut anglais,Nom frontière français,Nom frontière anglais,Code de la catégorie,Tags français,Tags anglais,Unité français,Unité anglais,Contributeur,Autres Contributeurs,Programme,Url du programme,Source,Localisation géographique,Date de création,Date de modification,Période de validité,Incertitude,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Commentaire anglais,Total poste non décomposé
Elément,34052,élément non décomposé,Facteur d'émission,Archivé,"""""""	Salade César au poulet (salade verte""""""",Caesar's salad (salad,"fromage, croûtos, sauce)","chicken, croûtons, sauce)",,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Salades composées et crudités","""Agribalyse,""""	Salade César au poulet (salade verte,entrées et plats composés""""""","Agribalyse,,starters and mixed dishes,Caesar's salad (salad",kgCO2e/kg de poids net,kgCO2e/kg (net weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,2021-03-04,2024-05-17,31/12/2023,,5.0,,4.0,,,,,,,,2.81
Elément,40963,élément non décomposé,Facteur d'émission,Valide générique,"""""""Barre céréalière """"""""équilibre"""""""" aux fruits""""""",Cereal bar with fruit,enrichie en vitamines et minéraux,fortified with vitamins and minerals,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Barre céréalière """"""""équilibre"""""""" aux fruits""""""","Agribalyse,céréales de petit-déjeuner et biscuits,Cereal bar with fruit",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.9,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,2.46
Elément,40964,élément non décomposé,Facteur d'émission,Valide générique,"""""""Barre céréalière """"""""équilibre"""""""" chocolatée""""""",Cereal bar with chocolate,enrichie en vitamines et minéraux,fortified with vitamins and minerals,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Barre céréalière """"""""équilibre"""""""" chocolatée""""""","Agribalyse,céréales de petit-déjeuner et biscuits,Cereal bar with chocolate",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.8,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,6.09
Elément,39789,élément non décomposé,Facteur d'émission,Valide générique,"""""""Bière """"""""coeur de marché"""""""" (4-5° alcool)""""""",Beer,,regular (4-5° alcohol),,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons alcoolisées","boisson alcoolisées,""""""Agribalyse,Bière """"""""coeur de marché"""""""" (4-5° alcool)""""""","Agribalyse,Beer,boisson alcoolisées",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.8,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,1.12
Elément,39790,élément non décomposé,Facteur d'émission,Valide générique,"""""""Bière """"""""de spécialités"""""""" ou d'abbaye""""""",Beer,régionales ou d'une brasserie (degré d'alcool variable),""""""" """"""""specialty""""""""""""""",,from abbey or regional (varying alcohol content),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons alcoolisées","boisson alcoolisées,""""""Agribalyse,Bière """"""""de spécialités"""""""" ou d'abbaye""""""","Agribalyse,Beer,boisson alcoolisées",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,3.1,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,1.12
Elément,39791,élément non décomposé,Facteur d'émission,Valide générique,"""""""Bière """"""""spéciale"""""""" (5-6° alcool)""""""",Beer,,special (5-6° alcohol),,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons alcoolisées","boisson alcoolisées,""""""Agribalyse,Bière """"""""spéciale"""""""" (5-6° alcool)""""""","Agribalyse,Beer,boisson alcoolisées",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,3.1,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,1.12
Elément,33558,élément non décomposé,Facteur d'émission,Archivé,"""""""Brioche fourrée crème pâtissière (type """"""""chinois"""""""")""""""",Brioche,préemballée,"filled with custard (Chinese brioche type), prepacked",,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries","produits céréaliers,""Agribalyse,""""Brioche fourrée crème pâtissière (type """"""""chinois""""""""),viennoiseries""""""","Agribalyse,Brioche,cereals products,pastries",kgCO2e/kg de poids net,kgCO2e/kg (net weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,2021-03-04,2024-05-17,31/12/2023,,5.0,,4.0,,,,,,,,3.83
Elément,41040,élément non décomposé,Facteur d'émission,Valide générique,"""""""Brioche fourrée crème pâtissière (type """"""""chinois"""""""")""""""",Brioche,préemballée,filled with custard (Chinese brioche type),,prepacked,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries","pains et viennoiseries,""""""Agribalyse,Brioche fourrée crème pâtissière (type """"""""chinois"""""""")""""""","Agribalyse,Brioche,pains et viennoiseries",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.1,4.0,,,,,,Livraison : Ambiant (court) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (court) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,2.71
Elément,41052,élément non décomposé,Facteur d'émission,Valide générique,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" au chocolat (non enrichies en vitamines et minérau",Breakfast cereals,,diet,,"with chocolate, not fortified","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" au chocolat (non enrichies en vitamines et minéraux)""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,3.7,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,3.4
Elément,41053,élément non décomposé,Facteur d'émission,Valide générique,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" au chocolat""""""",Breakfast cereals,enrichies en vitamines et minéraux,diet,,"with chocolate, fortified with vitamins and chemical elements","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" au chocolat""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,3.7,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,3.4
