0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11084,1,"Agar (algue), cru","Seaweed, agar, raw",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
20995,1,"Ao-nori (Enteromorpha sp.), séchée ou déshydratée","Sea lettuce (Enteromorpha sp.), dried or dehydrated",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
20998,1,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté","North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
20988,1,"Dulse (Palmaria palmata), séchée ou déshydratée","Dulse (Palmaria palmata), dried or dehydrated",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
20994,1,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté","Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
20993,1,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée","Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
20992,1,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée","Sea thong (Himanthalia elongata), dried or dehydrated",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
20991,1,"Kombu breton (Laminaria digitata), séchée ou déshydratée","Tangle (Laminaria digitata), dried or dehydrated",1.5201041,11.585723,6.2391594e-07,11.1829,0.047278892,8.5473275e-07,9.7690366e-08,6.8410472e-09,0.1051238,0.0021363697,0.013661447,0.12848208,56.639077,26.369517,4.8263202,393.44146,7.9140379e-05
20990,1,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée","Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
20986,1,"Kombu royal (Saccharina latissima), séchée ou déshydratée","Sea belt (Saccharina latissima), dried or dehydrated",1.5473477,11.78692,6.2705932e-07,11.185511,0.051405701,8.6159351e-07,9.8526291e-08,6.9332455e-09,0.11058096,0.0021459067,0.015033758,0.14364836,57.86752,26.718351,4.8331584,395.94639,7.9378261e-05
